Anime_name,duration,members,Score,medium,count of episodes/movies
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,Jul 2018 - Oct 2018,"192,831",8.88,TV,14
Monster,Apr 2004 - Sep 2005,"1,069,414",8.88,TV,74
Owarimonogatari 2nd Season,Aug 2017 - Aug 2017,"390,129",8.88,TV,7
Violet Evergarden Movie,Sep 2020 - Sep 2020,"580,616",8.88,Movie,1
Kimi no Na wa.,Aug 2016 - Aug 2016,"2,672,237",8.84,Movie,1
Kingdom 3rd Season,Apr 2020 - Oct 2021,"96,360",8.81,TV,26
Bocchi the Rock!,Oct 2022 - Dec 2022,"501,774",8.81,TV,12
Gintama.: Shirogane no Tamashii-hen,Jan 2018 - Mar 2018,"207,041",8.81,TV,12
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Dec 2022 - Dec 2022,"227,035",8.81,Movie,1
The First Slam Dunk,Dec 2022 - Dec 2022,"32,082",8.81,Movie,1
Vinland Saga Season 2,Jan 2023 - Jun 2023,"535,856",8.8,TV,24
Mob Psycho 100 II,Jan 2019 - Apr 2019,"1,483,240",8.8,TV,13
Kizumonogatari III: Reiketsu-hen,Jan 2017 - Jan 2017,"451,375",8.79,Movie,1
Shingeki no Kyojin: The Final Season,Dec 2020 - Mar 2021,"1,925,887",8.79,TV,16
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Oct 2016 - Dec 2016,"1,172,559",8.78,TV,10
Hajime no Ippo,Oct 2000 - Mar 2002,"571,458",8.77,TV,75
Kimetsu no Yaiba: Yuukaku-hen,Dec 2021 - Feb 2022,"1,346,462",8.77,TV,11
Sen to Chihiro no Kamikakushi,Jul 2001 - Jul 2001,"1,810,134",8.77,Movie,1
Shingeki no Kyojin: The Final Season Part 2,Jan 2022 - Apr 2022,"1,217,320",8.77,TV,12
Monogatari Series: Second Season,Jul 2013 - Dec 2013,"659,025",8.76,TV,26
Vinland Saga,Jul 2019 - Dec 2019,"1,441,531",8.75,TV,24
Cowboy Bebop,Apr 1998 - Apr 1999,"1,821,661",8.75,TV,26
Kingdom 4th Season,Apr 2022 - Oct 2022,"58,287",8.74,TV,26
Kusuriya no Hitorigoto,Oct 2023 -,"159,485",8.73,TV,24
Mushishi Zoku Shou 2nd Season,Oct 2014 - Dec 2014,"260,626",8.73,TV,10
"""Oshi no Ko""",Apr 2023 - Jun 2023,"699,998",8.73,TV,11
Tian Guan Cifu Er,Oct 2023 -,"30,405",8.73,ONA,?
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,Jan 2017 - Mar 2017,"184,378",8.72,TV,12
Ashita no Joe 2,Oct 1980 - Aug 1981,"50,008",8.72,TV,47
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,Jul 2023 - Sep 2023,"228,881",8.72,TV,13
Gintama°,Apr 2015 - Mar 2016,"614,907",9.06,TV,51
Shingeki no Kyojin Season 3 Part 2,Apr 2019 - Jul 2019,"2,195,508",9.05,TV,10
Bleach: Sennen Kessen-hen,Oct 2022 - Dec 2022,"501,080",9.04,TV,13
Gintama: The Final,Jan 2021 - Jan 2021,"142,386",9.04,Movie,1
Hunter x Hunter (2011),Oct 2011 - Sep 2014,"2,746,452",9.04,TV,148
Gintama',Apr 2011 - Mar 2012,"542,758",9.03,TV,51
Gintama': Enchousen,Oct 2012 - Mar 2013,"318,160",9.03,TV,13
Kaguya-sama wa Kokurasetai: Ultra Romantic,Apr 2022 - Jun 2022,"878,589",9.03,TV,13
Ginga Eiyuu Densetsu,Jan 1988 - Mar 1997,"313,541",9.02,OVA,110
Fruits Basket: The Final,Apr 2021 - Jun 2021,"455,642",8.99,TV,13
Gintama.,Jan 2017 - Mar 2017,"307,074",8.98,TV,12
Shingeki no Kyojin: The Final Season - Kanketsu-hen,Mar 2023 - Nov 2023,"563,174",8.96,Special,2
Gintama,Apr 2006 - Mar 2010,"1,045,973",8.94,TV,201
3-gatsu no Lion 2nd Season,Oct 2017 - Mar 2018,"393,425",8.93,TV,22
Clannad: After Story,Oct 2008 - Mar 2009,"1,172,027",8.93,TV,24
Koe no Katachi,Sep 2016 - Sep 2016,"2,262,809",8.93,Movie,1
Code Geass: Hangyaku no Lelouch R2,Apr 2008 - Sep 2008,"1,742,626",8.91,TV,25
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Jul 2013 - Jul 2013,"235,745",8.91,Movie,1
Jujutsu Kaisen 2nd Season,Jul 2023 -,"691,047",8.89,TV,23
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,Jul 2018 - Oct 2018,"192,831",8.88,TV,14
Monster,Apr 2004 - Sep 2005,"1,069,414",8.88,TV,74
Owarimonogatari 2nd Season,Aug 2017 - Aug 2017,"390,129",8.88,TV,7
Violet Evergarden Movie,Sep 2020 - Sep 2020,"580,616",8.88,Movie,1
Kimi no Na wa.,Aug 2016 - Aug 2016,"2,672,237",8.84,Movie,1
Kingdom 3rd Season,Apr 2020 - Oct 2021,"96,360",8.81,TV,26
Bocchi the Rock!,Oct 2022 - Dec 2022,"501,774",8.81,TV,12
Gintama.: Shirogane no Tamashii-hen,Jan 2018 - Mar 2018,"207,041",8.81,TV,12
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Dec 2022 - Dec 2022,"227,035",8.81,Movie,1
The First Slam Dunk,Dec 2022 - Dec 2022,"32,082",8.81,Movie,1
Vinland Saga Season 2,Jan 2023 - Jun 2023,"535,856",8.8,TV,24
Mob Psycho 100 II,Jan 2019 - Apr 2019,"1,483,240",8.8,TV,13
Kizumonogatari III: Reiketsu-hen,Jan 2017 - Jan 2017,"451,375",8.79,Movie,1
Shingeki no Kyojin: The Final Season,Dec 2020 - Mar 2021,"1,925,887",8.79,TV,16
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Oct 2016 - Dec 2016,"1,172,559",8.78,TV,10
Hajime no Ippo,Oct 2000 - Mar 2002,"571,458",8.77,TV,75
Kimetsu no Yaiba: Yuukaku-hen,Dec 2021 - Feb 2022,"1,346,462",8.77,TV,11
Sen to Chihiro no Kamikakushi,Jul 2001 - Jul 2001,"1,810,134",8.77,Movie,1
Shingeki no Kyojin: The Final Season Part 2,Jan 2022 - Apr 2022,"1,217,320",8.77,TV,12
Monogatari Series: Second Season,Jul 2013 - Dec 2013,"659,025",8.76,TV,26
Vinland Saga,Jul 2019 - Dec 2019,"1,441,531",8.75,TV,24
Cowboy Bebop,Apr 1998 - Apr 1999,"1,821,661",8.75,TV,26
Kingdom 4th Season,Apr 2022 - Oct 2022,"58,287",8.74,TV,26
Kusuriya no Hitorigoto,Oct 2023 -,"159,485",8.73,TV,24
Mushishi Zoku Shou 2nd Season,Oct 2014 - Dec 2014,"260,626",8.73,TV,10
"""Oshi no Ko""",Apr 2023 - Jun 2023,"699,998",8.73,TV,11
Tian Guan Cifu Er,Oct 2023 -,"30,405",8.73,ONA,?
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,Jan 2017 - Mar 2017,"184,378",8.72,TV,12
Ashita no Joe 2,Oct 1980 - Aug 1981,"50,008",8.72,TV,47
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,Jul 2023 - Sep 2023,"228,881",8.72,TV,13
86 Part 2,Oct 2021 - Mar 2022,"467,507",8.71,TV,12
Shingeki no Kyojin Season 3 Part 2,Apr 2019 - Jul 2019,"2,195,508",9.05,TV,10
Bleach: Sennen Kessen-hen,Oct 2022 - Dec 2022,"501,080",9.04,TV,13
Gintama: The Final,Jan 2021 - Jan 2021,"142,386",9.04,Movie,1
Hunter x Hunter (2011),Oct 2011 - Sep 2014,"2,746,452",9.04,TV,148
Gintama',Apr 2011 - Mar 2012,"542,758",9.03,TV,51
Gintama': Enchousen,Oct 2012 - Mar 2013,"318,160",9.03,TV,13
Kaguya-sama wa Kokurasetai: Ultra Romantic,Apr 2022 - Jun 2022,"878,589",9.03,TV,13
Ginga Eiyuu Densetsu,Jan 1988 - Mar 1997,"313,541",9.02,OVA,110
Fruits Basket: The Final,Apr 2021 - Jun 2021,"455,642",8.99,TV,13
Gintama.,Jan 2017 - Mar 2017,"307,074",8.98,TV,12
Shingeki no Kyojin: The Final Season - Kanketsu-hen,Mar 2023 - Nov 2023,"563,174",8.96,Special,2
Gintama,Apr 2006 - Mar 2010,"1,045,973",8.94,TV,201
3-gatsu no Lion 2nd Season,Oct 2017 - Mar 2018,"393,425",8.93,TV,22
Clannad: After Story,Oct 2008 - Mar 2009,"1,172,027",8.93,TV,24
Koe no Katachi,Sep 2016 - Sep 2016,"2,262,809",8.93,Movie,1
Code Geass: Hangyaku no Lelouch R2,Apr 2008 - Sep 2008,"1,742,626",8.91,TV,25
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Jul 2013 - Jul 2013,"235,745",8.91,Movie,1
Jujutsu Kaisen 2nd Season,Jul 2023 -,"691,047",8.89,TV,23
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,Jul 2018 - Oct 2018,"192,831",8.88,TV,14
Monster,Apr 2004 - Sep 2005,"1,069,414",8.88,TV,74
Owarimonogatari 2nd Season,Aug 2017 - Aug 2017,"390,129",8.88,TV,7
Violet Evergarden Movie,Sep 2020 - Sep 2020,"580,616",8.88,Movie,1
Kimi no Na wa.,Aug 2016 - Aug 2016,"2,672,237",8.84,Movie,1
Kingdom 3rd Season,Apr 2020 - Oct 2021,"96,360",8.81,TV,26
Bocchi the Rock!,Oct 2022 - Dec 2022,"501,774",8.81,TV,12
Gintama.: Shirogane no Tamashii-hen,Jan 2018 - Mar 2018,"207,041",8.81,TV,12
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Dec 2022 - Dec 2022,"227,035",8.81,Movie,1
The First Slam Dunk,Dec 2022 - Dec 2022,"32,082",8.81,Movie,1
Vinland Saga Season 2,Jan 2023 - Jun 2023,"535,856",8.8,TV,24
Mob Psycho 100 II,Jan 2019 - Apr 2019,"1,483,240",8.8,TV,13
Kizumonogatari III: Reiketsu-hen,Jan 2017 - Jan 2017,"451,375",8.79,Movie,1
Shingeki no Kyojin: The Final Season,Dec 2020 - Mar 2021,"1,925,887",8.79,TV,16
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Oct 2016 - Dec 2016,"1,172,559",8.78,TV,10
Hajime no Ippo,Oct 2000 - Mar 2002,"571,458",8.77,TV,75
Kimetsu no Yaiba: Yuukaku-hen,Dec 2021 - Feb 2022,"1,346,462",8.77,TV,11
Sen to Chihiro no Kamikakushi,Jul 2001 - Jul 2001,"1,810,134",8.77,Movie,1
Shingeki no Kyojin: The Final Season Part 2,Jan 2022 - Apr 2022,"1,217,320",8.77,TV,12
Monogatari Series: Second Season,Jul 2013 - Dec 2013,"659,025",8.76,TV,26
Vinland Saga,Jul 2019 - Dec 2019,"1,441,531",8.75,TV,24
Cowboy Bebop,Apr 1998 - Apr 1999,"1,821,661",8.75,TV,26
Kingdom 4th Season,Apr 2022 - Oct 2022,"58,287",8.74,TV,26
Kusuriya no Hitorigoto,Oct 2023 -,"159,485",8.73,TV,24
Mushishi Zoku Shou 2nd Season,Oct 2014 - Dec 2014,"260,626",8.73,TV,10
"""Oshi no Ko""",Apr 2023 - Jun 2023,"699,998",8.73,TV,11
Tian Guan Cifu Er,Oct 2023 -,"30,405",8.73,ONA,?
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,Jan 2017 - Mar 2017,"184,378",8.72,TV,12
Ashita no Joe 2,Oct 1980 - Aug 1981,"50,008",8.72,TV,47
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,Jul 2023 - Sep 2023,"228,881",8.72,TV,13
86 Part 2,Oct 2021 - Mar 2022,"467,507",8.71,TV,12
Mob Psycho 100 III,Oct 2022 - Dec 2022,"627,279",8.71,TV,12
Bleach: Sennen Kessen-hen,Oct 2022 - Dec 2022,"501,080",9.04,TV,13
Gintama: The Final,Jan 2021 - Jan 2021,"142,386",9.04,Movie,1
Hunter x Hunter (2011),Oct 2011 - Sep 2014,"2,746,452",9.04,TV,148
Gintama',Apr 2011 - Mar 2012,"542,758",9.03,TV,51
Gintama': Enchousen,Oct 2012 - Mar 2013,"318,160",9.03,TV,13
Kaguya-sama wa Kokurasetai: Ultra Romantic,Apr 2022 - Jun 2022,"878,589",9.03,TV,13
Ginga Eiyuu Densetsu,Jan 1988 - Mar 1997,"313,541",9.02,OVA,110
Fruits Basket: The Final,Apr 2021 - Jun 2021,"455,642",8.99,TV,13
Gintama.,Jan 2017 - Mar 2017,"307,074",8.98,TV,12
Shingeki no Kyojin: The Final Season - Kanketsu-hen,Mar 2023 - Nov 2023,"563,174",8.96,Special,2
Gintama,Apr 2006 - Mar 2010,"1,045,973",8.94,TV,201
3-gatsu no Lion 2nd Season,Oct 2017 - Mar 2018,"393,425",8.93,TV,22
Clannad: After Story,Oct 2008 - Mar 2009,"1,172,027",8.93,TV,24
Koe no Katachi,Sep 2016 - Sep 2016,"2,262,809",8.93,Movie,1
Code Geass: Hangyaku no Lelouch R2,Apr 2008 - Sep 2008,"1,742,626",8.91,TV,25
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Jul 2013 - Jul 2013,"235,745",8.91,Movie,1
Jujutsu Kaisen 2nd Season,Jul 2023 -,"691,047",8.89,TV,23
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,Jul 2018 - Oct 2018,"192,831",8.88,TV,14
Monster,Apr 2004 - Sep 2005,"1,069,414",8.88,TV,74
Owarimonogatari 2nd Season,Aug 2017 - Aug 2017,"390,129",8.88,TV,7
Violet Evergarden Movie,Sep 2020 - Sep 2020,"580,616",8.88,Movie,1
Kimi no Na wa.,Aug 2016 - Aug 2016,"2,672,237",8.84,Movie,1
Kingdom 3rd Season,Apr 2020 - Oct 2021,"96,360",8.81,TV,26
Bocchi the Rock!,Oct 2022 - Dec 2022,"501,774",8.81,TV,12
Gintama.: Shirogane no Tamashii-hen,Jan 2018 - Mar 2018,"207,041",8.81,TV,12
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Dec 2022 - Dec 2022,"227,035",8.81,Movie,1
The First Slam Dunk,Dec 2022 - Dec 2022,"32,082",8.81,Movie,1
Vinland Saga Season 2,Jan 2023 - Jun 2023,"535,856",8.8,TV,24
Mob Psycho 100 II,Jan 2019 - Apr 2019,"1,483,240",8.8,TV,13
Kizumonogatari III: Reiketsu-hen,Jan 2017 - Jan 2017,"451,375",8.79,Movie,1
Shingeki no Kyojin: The Final Season,Dec 2020 - Mar 2021,"1,925,887",8.79,TV,16
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Oct 2016 - Dec 2016,"1,172,559",8.78,TV,10
Hajime no Ippo,Oct 2000 - Mar 2002,"571,458",8.77,TV,75
Kimetsu no Yaiba: Yuukaku-hen,Dec 2021 - Feb 2022,"1,346,462",8.77,TV,11
Sen to Chihiro no Kamikakushi,Jul 2001 - Jul 2001,"1,810,134",8.77,Movie,1
Shingeki no Kyojin: The Final Season Part 2,Jan 2022 - Apr 2022,"1,217,320",8.77,TV,12
Monogatari Series: Second Season,Jul 2013 - Dec 2013,"659,025",8.76,TV,26
Vinland Saga,Jul 2019 - Dec 2019,"1,441,531",8.75,TV,24
Cowboy Bebop,Apr 1998 - Apr 1999,"1,821,661",8.75,TV,26
Kingdom 4th Season,Apr 2022 - Oct 2022,"58,287",8.74,TV,26
Kusuriya no Hitorigoto,Oct 2023 -,"159,485",8.73,TV,24
Mushishi Zoku Shou 2nd Season,Oct 2014 - Dec 2014,"260,626",8.73,TV,10
"""Oshi no Ko""",Apr 2023 - Jun 2023,"699,998",8.73,TV,11
Tian Guan Cifu Er,Oct 2023 -,"30,405",8.73,ONA,?
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,Jan 2017 - Mar 2017,"184,378",8.72,TV,12
Ashita no Joe 2,Oct 1980 - Aug 1981,"50,008",8.72,TV,47
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,Jul 2023 - Sep 2023,"228,881",8.72,TV,13
86 Part 2,Oct 2021 - Mar 2022,"467,507",8.71,TV,12
Mob Psycho 100 III,Oct 2022 - Dec 2022,"627,279",8.71,TV,12
One Piece,Oct 1999 -,"2,275,134",8.71,TV,?
Gintama: The Final,Jan 2021 - Jan 2021,"142,386",9.04,Movie,1
Hunter x Hunter (2011),Oct 2011 - Sep 2014,"2,746,452",9.04,TV,148
Gintama',Apr 2011 - Mar 2012,"542,758",9.03,TV,51
Gintama': Enchousen,Oct 2012 - Mar 2013,"318,160",9.03,TV,13
Kaguya-sama wa Kokurasetai: Ultra Romantic,Apr 2022 - Jun 2022,"878,589",9.03,TV,13
Ginga Eiyuu Densetsu,Jan 1988 - Mar 1997,"313,541",9.02,OVA,110
Fruits Basket: The Final,Apr 2021 - Jun 2021,"455,642",8.99,TV,13
Gintama.,Jan 2017 - Mar 2017,"307,074",8.98,TV,12
Shingeki no Kyojin: The Final Season - Kanketsu-hen,Mar 2023 - Nov 2023,"563,174",8.96,Special,2
Gintama,Apr 2006 - Mar 2010,"1,045,973",8.94,TV,201
3-gatsu no Lion 2nd Season,Oct 2017 - Mar 2018,"393,425",8.93,TV,22
Clannad: After Story,Oct 2008 - Mar 2009,"1,172,027",8.93,TV,24
Koe no Katachi,Sep 2016 - Sep 2016,"2,262,809",8.93,Movie,1
Code Geass: Hangyaku no Lelouch R2,Apr 2008 - Sep 2008,"1,742,626",8.91,TV,25
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Jul 2013 - Jul 2013,"235,745",8.91,Movie,1
Jujutsu Kaisen 2nd Season,Jul 2023 -,"691,047",8.89,TV,23
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,Jul 2018 - Oct 2018,"192,831",8.88,TV,14
Monster,Apr 2004 - Sep 2005,"1,069,414",8.88,TV,74
Owarimonogatari 2nd Season,Aug 2017 - Aug 2017,"390,129",8.88,TV,7
Violet Evergarden Movie,Sep 2020 - Sep 2020,"580,616",8.88,Movie,1
Kimi no Na wa.,Aug 2016 - Aug 2016,"2,672,237",8.84,Movie,1
Kingdom 3rd Season,Apr 2020 - Oct 2021,"96,360",8.81,TV,26
Bocchi the Rock!,Oct 2022 - Dec 2022,"501,774",8.81,TV,12
Gintama.: Shirogane no Tamashii-hen,Jan 2018 - Mar 2018,"207,041",8.81,TV,12
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Dec 2022 - Dec 2022,"227,035",8.81,Movie,1
The First Slam Dunk,Dec 2022 - Dec 2022,"32,082",8.81,Movie,1
Vinland Saga Season 2,Jan 2023 - Jun 2023,"535,856",8.8,TV,24
Mob Psycho 100 II,Jan 2019 - Apr 2019,"1,483,240",8.8,TV,13
Kizumonogatari III: Reiketsu-hen,Jan 2017 - Jan 2017,"451,375",8.79,Movie,1
Shingeki no Kyojin: The Final Season,Dec 2020 - Mar 2021,"1,925,887",8.79,TV,16
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Oct 2016 - Dec 2016,"1,172,559",8.78,TV,10
Hajime no Ippo,Oct 2000 - Mar 2002,"571,458",8.77,TV,75
Kimetsu no Yaiba: Yuukaku-hen,Dec 2021 - Feb 2022,"1,346,462",8.77,TV,11
Sen to Chihiro no Kamikakushi,Jul 2001 - Jul 2001,"1,810,134",8.77,Movie,1
Shingeki no Kyojin: The Final Season Part 2,Jan 2022 - Apr 2022,"1,217,320",8.77,TV,12
Monogatari Series: Second Season,Jul 2013 - Dec 2013,"659,025",8.76,TV,26
Vinland Saga,Jul 2019 - Dec 2019,"1,441,531",8.75,TV,24
Cowboy Bebop,Apr 1998 - Apr 1999,"1,821,661",8.75,TV,26
Kingdom 4th Season,Apr 2022 - Oct 2022,"58,287",8.74,TV,26
Kusuriya no Hitorigoto,Oct 2023 -,"159,485",8.73,TV,24
Mushishi Zoku Shou 2nd Season,Oct 2014 - Dec 2014,"260,626",8.73,TV,10
"""Oshi no Ko""",Apr 2023 - Jun 2023,"699,998",8.73,TV,11
Tian Guan Cifu Er,Oct 2023 -,"30,405",8.73,ONA,?
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,Jan 2017 - Mar 2017,"184,378",8.72,TV,12
Ashita no Joe 2,Oct 1980 - Aug 1981,"50,008",8.72,TV,47
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,Jul 2023 - Sep 2023,"228,881",8.72,TV,13
86 Part 2,Oct 2021 - Mar 2022,"467,507",8.71,TV,12
Mob Psycho 100 III,Oct 2022 - Dec 2022,"627,279",8.71,TV,12
One Piece,Oct 1999 -,"2,275,134",8.71,TV,?
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Feb 1999 - Sep 1999,"273,447",8.7,OVA,4
Hunter x Hunter (2011),Oct 2011 - Sep 2014,"2,746,452",9.04,TV,148
Gintama',Apr 2011 - Mar 2012,"542,758",9.03,TV,51
Gintama': Enchousen,Oct 2012 - Mar 2013,"318,160",9.03,TV,13
Kaguya-sama wa Kokurasetai: Ultra Romantic,Apr 2022 - Jun 2022,"878,589",9.03,TV,13
Ginga Eiyuu Densetsu,Jan 1988 - Mar 1997,"313,541",9.02,OVA,110
Fruits Basket: The Final,Apr 2021 - Jun 2021,"455,642",8.99,TV,13
Gintama.,Jan 2017 - Mar 2017,"307,074",8.98,TV,12
